platform,method,endpoint,summary,parameters (* required)
douyin,GET,/api/v1/demo/douyin/app/fetch_one_video,【Demo】抖音APP获取固定作品数据（1小时缓存）/[Demo] Fetch Douyin APP Fixed Video Data with Cache,
douyin,GET,/api/v1/demo/douyin/web/fetch_one_video,【Demo】抖音Web获取固定作品数据（1小时缓存）/[Demo] Fetch Douyin Web Fixed Video Data with Cache,
douyin,GET,/api/v1/douyin/app/v3/add_video_play_count,根据视频ID来增加作品的播放数/Increase the number of plays of the work according to the video ID,aweme_type* | item_id* | cookie
douyin,GET,/api/v1/douyin/app/v3/fetch_brand_hot_search_list,获取抖音品牌热榜分类数据/Get Douyin brand hot search list data,
douyin,GET,/api/v1/douyin/app/v3/fetch_brand_hot_search_list_detail,获取抖音品牌热榜具体分类数据/Get Douyin brand hot search list detail data,category_id*
douyin,GET,/api/v1/douyin/app/v3/fetch_hashtag_detail,获取指定话题的详情数据/Get details of specified hashtag,ch_id*
douyin,GET,/api/v1/douyin/app/v3/fetch_hashtag_video_list,获取指定话题的作品数据/Get video list of specified hashtag,ch_id* | cursor | sort_type | count
douyin,GET,/api/v1/douyin/app/v3/fetch_hot_search_list,获取抖音热搜榜数据/Get Douyin hot search list data,board_type | board_sub_type
douyin,GET,/api/v1/douyin/app/v3/fetch_live_hot_search_list,获取抖音直播热搜榜数据/Get Douyin live hot search list data,
douyin,POST,/api/v1/douyin/app/v3/fetch_multi_video,批量获取视频信息 V1/Batch Get Video Information V1,
douyin,POST,/api/v1/douyin/app/v3/fetch_multi_video_high_quality_play_url,批量获取视频的最高画质播放链接/Batch get the highest quality play URL of videos,
douyin,GET,/api/v1/douyin/app/v3/fetch_multi_video_statistics,"根据视频ID批量获取作品的统计数据（点赞数、下载数、播放数、分享数）/Get the statistical data of the Post according to the video ID (like count, download count, play count, share count)",aweme_ids*
douyin,POST,/api/v1/douyin/app/v3/fetch_multi_video_v2,批量获取视频信息 V2/Batch Get Video Information V2,
